ID,GroupLabel,Statistic,Test_Phase,BR_Day,Unit,Value
1,Control,MEAN,PRE_TEST,10,GRANULOCYTES (%),55
2,Control,MEAN,IN_TEST,28,GRANULOCYTES (%),57
3,Control,MEAN,IN_TEST,71,GRANULOCYTES (%),56
4,Control,MEAN,POST_TEST,5,GRANULOCYTES (%),52
5,Control,SERR,PRE_TEST,10,GRANULOCYTES (%),2.7
6,Control,SERR,IN_TEST,28,GRANULOCYTES (%),2.7
7,Control,SERR,IN_TEST,71,GRANULOCYTES (%),2.8
8,Control,SERR,POST_TEST,5,GRANULOCYTES (%),2.6
9,Control,TTEST,PRE_TEST,10,GRANULOCYTES (%),NA
10,Control,TTEST,IN_TEST,28,GRANULOCYTES (%),0.622
11,Control,TTEST,IN_TEST,71,GRANULOCYTES (%),0.891
12,Control,TTEST,POST_TEST,5,GRANULOCYTES (%),0.514
13,Control,MEAN,PRE_TEST,10,LYMPHOCYTES (%),38
14,Control,MEAN,IN_TEST,28,LYMPHOCYTES (%),37
15,Control,MEAN,IN_TEST,71,LYMPHOCYTES (%),38
16,Control,MEAN,POST_TEST,5,LYMPHOCYTES (%),41
17,Control,SERR,PRE_TEST,10,LYMPHOCYTES (%),2.4
18,Control,SERR,IN_TEST,28,LYMPHOCYTES (%),2.8
19,Control,SERR,IN_TEST,71,LYMPHOCYTES (%),3.0
20,Control,SERR,POST_TEST,5,LYMPHOCYTES (%),2.7
21,Control,TTEST,PRE_TEST,10,LYMPHOCYTES (%),NA
22,Control,TTEST,IN_TEST,28,LYMPHOCYTES (%),0.759
23,Control,TTEST,IN_TEST,71,LYMPHOCYTES (%),0.966
24,Control,TTEST,POST_TEST,5,LYMPHOCYTES (%),0.385
25,Control,MEAN,PRE_TEST,10,MONOCYTES (%),5
26,Control,MEAN,IN_TEST,28,MONOCYTES (%),5
27,Control,MEAN,IN_TEST,71,MONOCYTES (%),4
28,Control,MEAN,POST_TEST,5,MONOCYTES (%),4
29,Control,SERR,PRE_TEST,10,MONOCYTES (%),0.4
30,Control,SERR,IN_TEST,28,MONOCYTES (%),0.4
31,Control,SERR,IN_TEST,71,MONOCYTES (%),0.3
32,Control,SERR,POST_TEST,5,MONOCYTES (%),0.3
33,Control,TTEST,PRE_TEST,10,MONOCYTES (%),NA
34,Control,TTEST,IN_TEST,28,MONOCYTES (%),0.467
35,Control,TTEST,IN_TEST,71,MONOCYTES (%),0.386
36,Control,TTEST,POST_TEST,5,MONOCYTES (%),0.385
37,Control,MEAN,PRE_TEST,10,CD3+ (%),69
38,Control,MEAN,IN_TEST,28,CD3+ (%),69
39,Control,MEAN,IN_TEST,71,CD3+ (%),68
40,Control,MEAN,POST_TEST,5,CD3+ (%),69
41,Control,SERR,PRE_TEST,10,CD3+ (%),2.4
42,Control,SERR,IN_TEST,28,CD3+ (%),2.5
43,Control,SERR,IN_TEST,71,CD3+ (%),1.9
44,Control,SERR,POST_TEST,5,CD3+ (%),2.0
45,Control,TTEST,PRE_TEST,10,CD3+ (%),NA
46,Control,TTEST,IN_TEST,28,CD3+ (%),0.900
47,Control,TTEST,IN_TEST,71,CD3+ (%),0.625
48,Control,TTEST,POST_TEST,5,CD3+ (%),0.776
49,Control,MEAN,PRE_TEST,10,CD19+ (%),12
50,Control,MEAN,IN_TEST,28,CD19+ (%),13
51,Control,MEAN,IN_TEST,71,CD19+ (%),13
52,Control,MEAN,POST_TEST,5,CD19+ (%),12
53,Control,SERR,PRE_TEST,10,CD19+ (%),1.1
54,Control,SERR,IN_TEST,28,CD19+ (%),1.0
55,Control,SERR,IN_TEST,71,CD19+ (%),0.9
56,Control,SERR,POST_TEST,5,CD19+ (%),1.0
57,Control,TTEST,PRE_TEST,10,CD19+ (%),NA
58,Control,TTEST,IN_TEST,28,CD19+ (%),0.395
59,Control,TTEST,IN_TEST,71,CD19+ (%),0.729
60,Control,TTEST,POST_TEST,5,CD19+ (%),0.817
61,Control,MEAN,PRE_TEST,10,CD16/56+ (%),12
62,Control,MEAN,IN_TEST,28,CD16/56+ (%),11
63,Control,MEAN,IN_TEST,71,CD16/56+ (%),12
64,Control,MEAN,POST_TEST,5,CD16/56+ (%),11
65,Control,SERR,PRE_TEST,10,CD16/56+ (%),1.7
66,Control,SERR,IN_TEST,28,CD16/56+ (%),2.1
67,Control,SERR,IN_TEST,71,CD16/56+ (%),1.9
68,Control,SERR,POST_TEST,5,CD16/56+ (%),1.5
69,Control,TTEST,PRE_TEST,10,CD16/56+ (%),NA
70,Control,TTEST,IN_TEST,28,CD16/56+ (%),0.588
71,Control,TTEST,IN_TEST,71,CD16/56+ (%),0.848
72,Control,TTEST,POST_TEST,5,CD16/56+ (%),0.529
73,Control,MEAN,PRE_TEST,10,CD3+/CD4+ (%),61
74,Control,MEAN,IN_TEST,28,CD3+/CD4+ (%),60
75,Control,MEAN,IN_TEST,71,CD3+/CD4+ (%),59
76,Control,MEAN,POST_TEST,5,CD3+/CD4+ (%),60
77,Control,SERR,PRE_TEST,10,CD3+/CD4+ (%),3.0
78,Control,SERR,IN_TEST,28,CD3+/CD4+ (%),2.7
79,Control,SERR,IN_TEST,71,CD3+/CD4+ (%),2.9
80,Control,SERR,POST_TEST,5,CD3+/CD4+ (%),3.0
81,Control,TTEST,PRE_TEST,10,CD3+/CD4+ (%),NA
82,Control,TTEST,IN_TEST,28,CD3+/CD4+ (%),0.279
83,Control,TTEST,IN_TEST,71,CD3+/CD4+ (%),0.290
84,Control,TTEST,POST_TEST,5,CD3+/CD4+ (%),0.471
85,Control,MEAN,PRE_TEST,10,CD3+/CD8+ (%),33
86,Control,MEAN,IN_TEST,28,CD3+/CD8+ (%),34
87,Control,MEAN,IN_TEST,71,CD3+/CD8+ (%),34
88,Control,MEAN,POST_TEST,5,CD3+/CD8+ (%),35
89,Control,SERR,PRE_TEST,10,CD3+/CD8+ (%),2.6
90,Control,SERR,IN_TEST,28,CD3+/CD8+ (%),2.4
91,Control,SERR,IN_TEST,71,CD3+/CD8+ (%),2.5
92,Control,SERR,POST_TEST,5,CD3+/CD8+ (%),2.6
93,Control,TTEST,PRE_TEST,10,CD3+/CD8+ (%),NA
94,Control,TTEST,IN_TEST,28,CD3+/CD8+ (%),0.050
95,Control,TTEST,IN_TEST,71,CD3+/CD8+ (%),0.094
96,Control,TTEST,POST_TEST,5,CD3+/CD8+ (%),0.075
97,Control,MEAN,PRE_TEST,10,CD4+/CD45RO+ (%),55
98,Control,MEAN,IN_TEST,28,CD4+/CD45RO+ (%),57
99,Control,MEAN,IN_TEST,71,CD4+/CD45RO+ (%),56
100,Control,MEAN,POST_TEST,5,CD4+/CD45RO+ (%),55
101,Control,SERR,PRE_TEST,10,CD4+/CD45RO+ (%),4.5
102,Control,SERR,IN_TEST,28,CD4+/CD45RO+ (%),4.9
103,Control,SERR,IN_TEST,71,CD4+/CD45RO+ (%),4.4
104,Control,SERR,POST_TEST,5,CD4+/CD45RO+ (%),4.7
105,Control,TTEST,PRE_TEST,10,CD4+/CD45RO+ (%),NA
106,Control,TTEST,IN_TEST,28,CD4+/CD45RO+ (%),0.041
107,Control,TTEST,IN_TEST,71,CD4+/CD45RO+ (%),0.286
108,Control,TTEST,POST_TEST,5,CD4+/CD45RO+ (%),0.963
109,Control,MEAN,PRE_TEST,10,CD8+/CD45RO+ (%),36
110,Control,MEAN,IN_TEST,28,CD8+/CD45RO+ (%),40
111,Control,MEAN,IN_TEST,71,CD8+/CD45RO+ (%),37
112,Control,MEAN,POST_TEST,5,CD8+/CD45RO+ (%),34
113,Control,SERR,PRE_TEST,10,CD8+/CD45RO+ (%),2.7
114,Control,SERR,IN_TEST,28,CD8+/CD45RO+ (%),3.3
115,Control,SERR,IN_TEST,71,CD8+/CD45RO+ (%),2.7
116,Control,SERR,POST_TEST,5,CD8+/CD45RO+ (%),2.5
117,Control,TTEST,PRE_TEST,10,CD8+/CD45RO+ (%),NA
118,Control,TTEST,IN_TEST,28,CD8+/CD45RO+ (%),0.040
119,Control,TTEST,IN_TEST,71,CD8+/CD45RO+ (%),0.309
120,Control,TTEST,POST_TEST,5,CD8+/CD45RO+ (%),0.123
121,Control,MEAN,PRE_TEST,10,CD4+/CD69+ (%),3
122,Control,MEAN,IN_TEST,28,CD4+/CD69+ (%),2
123,Control,MEAN,IN_TEST,71,CD4+/CD69+ (%),2
124,Control,MEAN,POST_TEST,5,CD4+/CD69+ (%),3
125,Control,SERR,PRE_TEST,10,CD4+/CD69+ (%),0.5
126,Control,SERR,IN_TEST,28,CD4+/CD69+ (%),0.4
127,Control,SERR,IN_TEST,71,CD4+/CD69+ (%),0.4
128,Control,SERR,POST_TEST,5,CD4+/CD69+ (%),0.4
129,Control,TTEST,PRE_TEST,10,CD4+/CD69+ (%),NA
130,Control,TTEST,IN_TEST,28,CD4+/CD69+ (%),0.446
131,Control,TTEST,IN_TEST,71,CD4+/CD69+ (%),0.488
132,Control,TTEST,POST_TEST,5,CD4+/CD69+ (%),0.563
133,Control,MEAN,PRE_TEST,10,CD8+/CD69+ (%),6
134,Control,MEAN,IN_TEST,28,CD8+/CD69+ (%),5
135,Control,MEAN,IN_TEST,71,CD8+/CD69+ (%),4
136,Control,MEAN,POST_TEST,5,CD8+/CD69+ (%),4
137,Control,SERR,PRE_TEST,10,CD8+/CD69+ (%),0.8
138,Control,SERR,IN_TEST,28,CD8+/CD69+ (%),0.7
139,Control,SERR,IN_TEST,71,CD8+/CD69+ (%),0.7
140,Control,SERR,POST_TEST,5,CD8+/CD69+ (%),0.7
141,Control,TTEST,PRE_TEST,10,CD8+/CD69+ (%),NA
142,Control,TTEST,IN_TEST,28,CD8+/CD69+ (%),0.161
143,Control,TTEST,IN_TEST,71,CD8+/CD69+ (%),0.034
144,Control,TTEST,POST_TEST,5,CD8+/CD69+ (%),0.012
145,Control,MEAN,PRE_TEST,10,CD4+/HLA-DR+ (%),5
146,Control,MEAN,IN_TEST,28,CD4+/HLA-DR+ (%),5
147,Control,MEAN,IN_TEST,71,CD4+/HLA-DR+ (%),5
148,Control,MEAN,POST_TEST,5,CD4+/HLA-DR+ (%),6
149,Control,SERR,PRE_TEST,10,CD4+/HLA-DR+ (%),0.8
150,Control,SERR,IN_TEST,28,CD4+/HLA-DR+ (%),1.1
151,Control,SERR,IN_TEST,71,CD4+/HLA-DR+ (%),1.1
152,Control,SERR,POST_TEST,5,CD4+/HLA-DR+ (%),1.4
153,Control,TTEST,PRE_TEST,10,CD4+/HLA-DR+ (%),NA
154,Control,TTEST,IN_TEST,28,CD4+/HLA-DR+ (%),0.401
155,Control,TTEST,IN_TEST,71,CD4+/HLA-DR+ (%),0.706
156,Control,TTEST,POST_TEST,5,CD4+/HLA-DR+ (%),0.359
157,Control,MEAN,PRE_TEST,10,CD8+/HLA-DR+ (%),7
158,Control,MEAN,IN_TEST,28,CD8+/HLA-DR+ (%),6
159,Control,MEAN,IN_TEST,71,CD8+/HLA-DR+ (%),7
160,Control,MEAN,POST_TEST,5,CD8+/HLA-DR+ (%),9
161,Control,SERR,PRE_TEST,10,CD8+/HLA-DR+ (%),2.1
162,Control,SERR,IN_TEST,28,CD8+/HLA-DR+ (%),1.7
163,Control,SERR,IN_TEST,71,CD8+/HLA-DR+ (%),1.9
164,Control,SERR,POST_TEST,5,CD8+/HLA-DR+ (%),2.7
165,Control,TTEST,PRE_TEST,10,CD8+/HLA-DR+ (%),NA
166,Control,TTEST,IN_TEST,28,CD8+/HLA-DR+ (%),0.401
167,Control,TTEST,IN_TEST,71,CD8+/HLA-DR+ (%),0.912
168,Control,TTEST,POST_TEST,5,CD8+/HLA-DR+ (%),0.588
169,Control,MEAN,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),40
170,Control,MEAN,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),45
171,Control,MEAN,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),46
172,Control,MEAN,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),48
173,Control,SERR,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),3.9
174,Control,SERR,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),3.0
175,Control,SERR,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),2.8
176,Control,SERR,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),2.9
177,Control,TTEST,PRE_TEST,10,CD4+/IL-2+ (IFNg-) (%),NA
178,Control,TTEST,IN_TEST,28,CD4+/IL-2+ (IFNg-) (%),0.304
179,Control,TTEST,IN_TEST,71,CD4+/IL-2+ (IFNg-) (%),0.048
180,Control,TTEST,POST_TEST,5,CD4+/IL-2+ (IFNg-) (%),0.039
181,Control,MEAN,PRE_TEST,10,CD4+/IFNg+ (%),37
182,Control,MEAN,IN_TEST,28,CD4+/IFNg+ (%),27
183,Control,MEAN,IN_TEST,71,CD4+/IFNg+ (%),26
184,Control,MEAN,POST_TEST,5,CD4+/IFNg+ (%),25
185,Control,SERR,PRE_TEST,10,CD4+/IFNg+ (%),5.6
186,Control,SERR,IN_TEST,28,CD4+/IFNg+ (%),2.6
187,Control,SERR,IN_TEST,71,CD4+/IFNg+ (%),3.5
188,Control,SERR,POST_TEST,5,CD4+/IFNg+ (%),3.3
189,Control,TTEST,PRE_TEST,10,CD4+/IFNg+ (%),NA
190,Control,TTEST,IN_TEST,28,CD4+/IFNg+ (%),0.015
191,Control,TTEST,IN_TEST,71,CD4+/IFNg+ (%),0.005
192,Control,TTEST,POST_TEST,5,CD4+/IFNg+ (%),0.027
193,Control,MEAN,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),37
194,Control,MEAN,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),40
195,Control,MEAN,IN_TEST,71,CD8+/IFNg+ (IL-2-) (%),42
196,Control,MEAN,POST_TEST,5,CD8+/IFNg+ (IL-2-) (%),36
197,Control,SERR,PRE_TEST,10,CD8+/IFNg+ (IL-2-) (%),6.5
198,Control,SERR,IN_TEST,28,CD8+/IFNg+ (IL-2-) (%),4.9
