column,missing_count,missing_percent,non_missing_count,dtype
P_DR2TOT_DR2TWSZ,4624,29.72,10936,float64
P_DR2TOT_DR2STY,4624,29.72,10936,float64
P_DR2TOT_DR2EXMER,4624,29.72,10936,float64
P_DR2TOT_DR2DAY,4624,29.72,10936,float64
P_DS2TOT_DR2EXMER,4624,29.72,10936,float64
P_DS2TOT_DR2DAY,4624,29.72,10936,float64
P_BMX_BMXLEG,4576,29.41,10984,float64
P_DS2TOT_DR2LANG,4571,29.38,10989,float64
P_DR2TOT_DR2LANG,4571,29.38,10989,float64
P_DEMO_MIAINTRP,4560,29.31,11000,float64
P_DEMO_MIAPROXY,4560,29.31,11000,float64
P_DEMO_MIALANG,4560,29.31,11000,float64
P_COT_LBDCOTLC,4165,26.77,11395,float64
P_COT_LBXCOT,4165,26.77,11395,float64
P_COT_LBDHCOLC,4165,26.77,11395,float64
P_COT_LBXHCOT,4165,26.77,11395,float64
P_CBC_LBDBANO,3409,21.91,12151,float64
P_CBC_LBDEONO,3409,21.91,12151,float64
P_CBC_LBDNENO,3409,21.91,12151,float64
P_CBC_LBXNRBC,3409,21.91,12151,float64
P_CBC_LBDLYMNO,3409,21.91,12151,float64
P_CBC_LBXBAPCT,3409,21.91,12151,float64
P_CBC_LBXEOPCT,3409,21.91,12151,float64
P_CBC_LBXNEPCT,3409,21.91,12151,float64
P_CBC_LBXLYPCT,3409,21.91,12151,float64
P_CBC_LBXMOPCT,3409,21.91,12151,float64
P_CBC_LBDMONO,3409,21.91,12151,float64
P_CBC_LBXMC,3404,21.88,12156,float64
P_CBC_LBXMCVSI,3404,21.88,12156,float64
P_CBC_LBXMCHSI,3404,21.88,12156,float64
P_CBC_LBXRDW,3404,21.88,12156,float64
P_CBC_LBXPLTSI,3404,21.88,12156,float64
P_CBC_LBXMPSI,3404,21.88,12156,float64
P_CBC_LBXWBCSI,3404,21.88,12156,float64
P_CBC_LBXHGB,3404,21.88,12156,float64
P_CBC_LBXRBCSI,3404,21.88,12156,float64
P_CBC_LBXHCT,3404,21.88,12156,float64
P_DR1TOT_DR1DBIH,3390,21.79,12170,float64
P_DS1TOT_DR1DBIH,3390,21.79,12170,float64
P_DR1TOT_DRD340,3237,20.8,12323,float64
P_DR1TOT_DRD360,3237,20.8,12323,float64
P_DR1TOT_DR1TS180,3168,20.36,12392,float64
P_DR1TOT_DR1TSELE,3168,20.36,12392,float64
P_DR1TOT_DR1TS160,3168,20.36,12392,float64
P_DR1TOT_DR1TS140,3168,20.36,12392,float64
P_DR1TOT_DR1TP226,3168,20.36,12392,float64
P_DR1TOT_DR1TM221,3168,20.36,12392,float64
P_DR1TOT_DR1TM201,3168,20.36,12392,float64
P_DR1TOT_DR1TM181,3168,20.36,12392,float64
P_DR1TOT_DR1TM161,3168,20.36,12392,float64
P_DR1TOT_DR1TP204,3168,20.36,12392,float64
P_DR1TOT_DR1TP184,3168,20.36,12392,float64
P_DR1TOT_DR1TP183,3168,20.36,12392,float64
P_DR1TOT_DR1TP182,3168,20.36,12392,float64
P_DR1TOT_DR1TSODI,3168,20.36,12392,float64
P_DR1TOT_DR1TPOTA,3168,20.36,12392,float64
P_DR1TOT_DR1TS060,3168,20.36,12392,float64
P_DR1TOT_DR1TS040,3168,20.36,12392,float64
P_DR1TOT_DR1TVC,3168,20.36,12392,float64
P_DR1TOT_DR1TKCAL,3168,20.36,12392,float64
P_DR1TOT_DR1TCARB,3168,20.36,12392,float64
P_DR1TOT_DR1TS120,3168,20.36,12392,float64
P_DR1TOT_DR1TS100,3168,20.36,12392,float64
P_DR1TOT_DR1TS080,3168,20.36,12392,float64
P_DR1TOT_DR1TCHOL,3168,20.36,12392,float64
P_DR1TOT_DR1TTFAT,3168,20.36,12392,float64
P_DR1TOT_DR1TFIBE,3168,20.36,12392,float64
P_DR1TOT_DR1TVB12,3168,20.36,12392,float64
P_DR1TOT_DR1TSUGR,3168,20.36,12392,float64
P_DR1TOT_DR1TCOPP,3168,20.36,12392,float64
P_DR1TOT_DR1TZINC,3168,20.36,12392,float64
P_DR1TOT_DR1TIRON,3168,20.36,12392,float64
P_DR1TOT_DR1TCALC,3168,20.36,12392,float64
P_DR1TOT_DR1TVD,3168,20.36,12392,float64
P_DR1TOT_DR1TP205,3168,20.36,12392,float64
P_DR1TOT_DR1TP225,3168,20.36,12392,float64
P_DR1TOT_DR1TPROT,3168,20.36,12392,float64
P_ALB_CR_URDACT,3051,19.61,12509,float64
P_ALB_CR_URXCRS,3051,19.61,12509,float64
P_ALB_CR_URXUCR,3051,19.61,12509,float64
P_ALB_CR_URDUCRLC,3051,19.61,12509,float64
P_ALB_CR_URDUMALC,3050,19.6,12510,float64
P_ALB_CR_URXUMA,3050,19.6,12510,float64
P_ALB_CR_URXUMS,3050,19.6,12510,float64
P_BMX_BMXWAIST,2986,19.19,12574,float64
P_DS1TOT_DR1HELP,2949,18.95,12611,float64
P_DR1TOT_DR1HELP,2949,18.95,12611,float64
P_DR1TOT_DR1MRESP,2937,18.88,12623,float64
P_DS1TOT_DR1MRESP,2937,18.88,12623,float64
P_DS2TOT_WTDR2DPP,2926,18.8,12634,float64
P_DS1TOT_WTDR2DPP,2926,18.8,12634,float64
P_DS1TOT_DRDINT,2926,18.8,12634,float64
P_DR1TOT_WTDR2DPP,2926,18.8,12634,float64
P_DS2TOT_DRDINT,2926,18.8,12634,float64
P_DR1TOT_DRABF,2926,18.8,12634,float64
