column,count,mean,std,min,25%,50%,75%,max
SEQN,15560.0,117042.5,4491.929429543612,109263.0,113152.75,117042.5,120932.25,124822.0
P_DEMO_SDDSRVYR,15560.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0
P_DEMO_RIDSTATR,15560.0,1.9190231362467867,0.2728083472855306,1.0,2.0,2.0,2.0,2.0
P_DEMO_RIAGENDR,15560.0,1.5037917737789204,0.500001689395428,1.0,1.0,2.0,2.0,2.0
P_DEMO_RIDAGEYR,15560.0,33.742480719794344,25.320531628533193,0.0,10.0,30.0,56.0,80.0
P_DEMO_RIDEXMON,14300.0,1.474125874125874,0.4993475408279998,1.0,1.0,1.0,2.0,2.0
P_DEMO_DMDBORN4,15560.0,1.2302056555269922,1.7280832810013442,1.0,1.0,1.0,1.0,99.0
P_DEMO_SIALANG,15560.0,1.100064267352185,0.3000953140071845,1.0,1.0,1.0,1.0,2.0
P_DEMO_SIAPROXY,15560.0,1.6453084832904885,0.47843511105552344,1.0,1.0,2.0,2.0,2.0
P_DEMO_SIAINTRP,15560.0,1.9742287917737789,0.15845714474367278,1.0,2.0,2.0,2.0,2.0
P_DEMO_FIALANG,14481.0,1.0945376700504108,0.2925853902960988,1.0,1.0,1.0,1.0,2.0
P_DEMO_FIAPROXY,14481.0,1.9981354878806712,0.04314121276055175,1.0,2.0,2.0,2.0,2.0
P_DEMO_FIAINTRP,14481.0,1.9781092465989918,0.14633190702862292,1.0,2.0,2.0,2.0,2.0
P_DEMO_MIALANG,11000.0,1.0691818181818182,0.25377460255340134,1.0,1.0,1.0,1.0,2.0
P_DEMO_MIAPROXY,11000.0,1.9921818181818183,0.08807816473129004,1.0,2.0,2.0,2.0,2.0
P_DEMO_MIAINTRP,11000.0,1.9767272727272727,0.15077524362508488,1.0,2.0,2.0,2.0,2.0
P_DEMO_WTINTPRP,15560.0,20714.921079187534,25323.916482127657,1017.784203,7435.54305825,12712.5643,22761.14090725,338363.600192
P_DEMO_WTMECPRP,15560.0,20714.921079235475,27114.911523126117,0.0,6762.82176375,12639.5785765,23308.39189575,367555.742979
P_DEMO_SDMVPSU,15560.0,1.5405526992287917,0.5406784025244871,1.0,1.0,2.0,2.0,3.0
P_DEMO_SDMVSTRA,15560.0,160.26799485861181,6.974232326184519,149.0,155.0,160.0,166.0,172.0
