column,count,mean,std,min,25%,50%,75%,max
SEQN,15560.0,117042.5,4491.929429543612,109263.0,113152.75,117042.5,120932.25,124822.0
P_DEMO_SDDSRVYR,15560.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0
P_DEMO_RIDSTATR,15560.0,1.9190231362467867,0.2728083472855306,1.0,2.0,2.0,2.0,2.0
P_DEMO_RIAGENDR,15560.0,1.5037917737789204,0.500001689395428,1.0,1.0,2.0,2.0,2.0
P_DEMO_RIDAGEYR,15560.0,33.742480719794344,25.320531628533193,0.0,10.0,30.0,56.0,80.0
P_DEMO_RIDAGEMN,987.0,10.518743667679837,7.079410711812055,0.0,4.0,10.0,17.0,24.0
P_DEMO_RIDRETH1,15560.0,3.2498714652956298,1.222643964880274,1.0,3.0,3.0,4.0,5.0
P_DEMO_RIDRETH3,15560.0,3.4861182519280205,1.6227344263930907,1.0,3.0,3.0,4.0,7.0
P_DEMO_RIDEXMON,14300.0,1.474125874125874,0.4993475408279998,1.0,1.0,1.0,2.0,2.0
P_DEMO_DMDBORN4,15560.0,1.2302056555269922,1.7280832810013442,1.0,1.0,1.0,1.0,99.0
P_DEMO_DMDYRUSZ,3028.0,6.701453104359313,18.534337757715186,1.0,2.0,3.0,4.0,99.0
P_DEMO_DMDEDUC2,9232.0,3.551993067590988,1.2141085243903633,1.0,3.0,4.0,4.0,9.0
P_DEMO_DMDMARTZ,9232.0,1.708622183708839,2.7558781618735972,1.0,1.0,1.0,2.0,99.0
P_DEMO_RIDEXPRG,1874.0,2.0512273212379935,0.376202238809661,1.0,2.0,2.0,2.0,3.0
P_DEMO_SIALANG,15560.0,1.100064267352185,0.3000953140071845,1.0,1.0,1.0,1.0,2.0
P_DEMO_SIAPROXY,15560.0,1.6453084832904885,0.47843511105552344,1.0,1.0,2.0,2.0,2.0
P_DEMO_SIAINTRP,15560.0,1.9742287917737789,0.15845714474367278,1.0,2.0,2.0,2.0,2.0
P_DEMO_FIALANG,14481.0,1.0945376700504108,0.2925853902960988,1.0,1.0,1.0,1.0,2.0
P_DEMO_FIAPROXY,14481.0,1.9981354878806712,0.04314121276055175,1.0,2.0,2.0,2.0,2.0
P_DEMO_FIAINTRP,14481.0,1.9781092465989918,0.14633190702862292,1.0,2.0,2.0,2.0,2.0
