source,columns,avg_missing_percent,min_missing_percent,max_missing_percent
SEQN,1,0.0,0.0,0.0
P_DEMO,28,18.62858060962174,0.0,93.65681233933162
P_ALB,7,19.605214836577307,19.601542416452443,19.60796915167095
P_CBC,21,21.89343860937691,21.876606683804628,21.908740359897173
P_COT,4,26.767352185089976,26.767352185089976,26.767352185089976
P_HDL,2,30.411311053984573,30.411311053984573,30.411311053984573
P_TCHOL,2,30.411311053984573,30.411311053984573,30.411311053984573
P_DR2TOT,84,31.1439588688946,8.097686375321336,89.4280205655527
P_BPXO,11,35.65202150035055,33.33547557840617,39.51156812339332
P_DR1TOT,167,47.90661607376507,8.097686375321336,99.98071979434448
P_BMX,21,61.789998775859964,8.097686375321336,100.0
P_TRIGLY,9,69.9071693801771,67.2879177377892,70.32776349614396
P_DS1TOT,48,70.09881105398458,8.097686375321336,99.8586118251928
P_DS2TOT,48,72.59787382176522,8.097686375321336,99.8650385604113
P_DSQTOT,38,77.02289947233122,0.0,99.79434447300771
